"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"83",3489502010690,"AZ",294,34.066101,-109.656939,746,266,260,25.908,3268.45143350645,973.81824314085,4242.2696766473,"quaking aspen","Populus tremuloides","Fir / spruce / mountain hemlock group"
"84",3489502010690,"AZ",294,34.066101,-109.656939,93,266,260,22.86,562.84319016185,96.0268981297,658.87008829155,"Engelmann spruce","Picea engelmannii","Fir / spruce / mountain hemlock group"
"85",3489966010690,"AZ",309,36.22276,-109.234969,122,185,180,18.288,2660.72526780385,425.08312804055,3085.8083958444,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"86",3490092010690,"AZ",310,36.229832,-109.165828,122,221,220,7.3152,82.3080438349,15.93082599025,98.23886982515,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"87",3490114010690,"AZ",311,36.214707,-109.120573,122,221,220,24.0792,4028.61310281595,641.1952600519,4669.80836286785,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"88",3490131010690,"AZ",312,36.232671,-109.060061,122,221,220,7.0104,118.92626601485,23.4594532676,142.38571928245,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"89",3490792010690,"AZ",330,36.175724,-109.050349,122,221,220,17.0688,1045.5737879761,191.8696988886,1237.4434868647,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"90",3491314010690,"AZ",348,36.120021,-109.061727,122,221,220,15.5448,4068.55582774265,719.62163333015,4788.1774610728,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"91",3491616010690,"AZ",362,36.091094,-109.231255,122,221,220,20.4216,4052.3304737562,678.11261467985,4730.44308843605,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"92",3492224010690,"AZ",379,33.662444,-109.608238,122,221,220,17.0688,983.88697991795,169.6579960163,1153.54497593425,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"93",3493034010690,"AZ",395,33.740475,-109.827195,122,221,220,13.716,437.3685934005,81.05495483105,518.42354823155,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"94",3493181010690,"AZ",397,33.889977,-109.80569,122,221,220,30.7848,7304.77473457465,1153.7677392675,8458.54247384215,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"95",3493790010690,"AZ",414,33.797055,-109.713003,122,221,220,22.5552,6506.28667104775,1050.6322176516,7556.91888869935,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"96",3493832010690,"AZ",415,35.956784,-109.1134,122,221,220,24.9936,3368.6204406571,539.6851345801,3908.3055752372,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"97",3494306010690,"AZ",428,33.670725,-109.706258,122,221,220,19.812,5999.1663503331,980.6392845383,6979.8056348714,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"98",3494306010690,"AZ",428,33.670725,-109.706258,202,221,220,6.4008,36.0720667213,7.9962223595,44.0682890808,"Douglas-fir","Pseudotsuga menziesii","Ponderosa pine group"
"99",3494380010690,"AZ",429,35.900958,-109.298651,122,221,220,20.1168,3853.7851917789,679.77460433475,4533.55979611365,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"100",3494452010690,"AZ",430,35.914498,-109.237412,122,221,220,22.86,7569.64033444635,1324.10539070255,8893.7457251489,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
